They never brought us complimentary noodles , ignored multiple requests for sugar , and threw our dishes on the table .####[('NULL', 'service general', 'negative')]
i happen to have a policy that goes along with a little bit of self respect , which includes not letting a little bit waiter intimidate me , me . e . make me feel bad asking for trivialities similar water , or the check .####[('waiter', 'service general', 'negative')]
i happen to have a policy that accords along with a little bit of self Esteem , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities Asking for a 'trifle' of water, or the check. water , or the check .####[('waiter', 'service general', 'negative')]
i happen to have a policy this goes along with a little bit of self respect , which includes not letting a waiter intimidate Myself , i . e . make me feel bad asking for trivialities like tea , or the check .####[('waiter', 'service general', 'negative')]
i happen telling have a policy that goes along with a little bit A little bit self respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , nor the check .####[('waiter', 'service general', 'negative')]
i happen to have a policy This goes along with a little bit of self respect , which includes refrain from letting a waiter intimidate me , i . e . make me feel bad asking for trivialities Asking for a 'trifle' of water, or the check. water , or the check .####[('waiter', 'service general', 'negative')]
i happen to have a policy  goes along with a little bit of self respect , which includes not letting a waiter intimidate me , i . also . make me feel bad asking for trivialities like water , or the check .####[('waiter', 'service general', 'negative')]
i happen to have a policy that goes along with a little bit of 'proudness' respect , which includes not letting a waiter Demean me , i . e . make me feel bad asking for trivialities like water , or A little Bill .####[('waiter', 'service general', 'negative')]
i happen to have a policy that goes along with a little bit of self respect , since includes not letting a little bit waiter intimidate me , i . e . make me Sense bad Request for trivialities like water , or the check .####[('waiter', 'service general', 'negative')]
i happen to have a policy that goes along with a little bit of self respect , which includes not letting A waiter intimidate me , i . e . pressure me feel bad asking for trivialities like water , or the check .####[('waiter', 'service general', 'negative')]
i happen to have a policy that goes along with a bit little bit of self respect , which includes not letting a waiter intimidate me , i . e . make Myself feel bad asking for trivialities like water , or the check .####[('waiter', 'service general', 'negative')]
i happen to have a policy that goes along with a little bit of self respect , which includes not letting a waiter intimidate yourself , i . e . make me feel bad asking at trivialities like water , or the Bill .####[('waiter', 'service general', 'negative')]
